city,averagePricePerAcre,averagePricePerSqFt,averagePrice,averageBeds,averageBaths,averageAcreage,averageSqFt
Pikeville,11571,152,"378,000",4,3,33,"2,486"
Glasgow,50915,164,"765,500",5,3,15,"4,662"
La Grange,57314,225,"1,530,000",5,5,27,"6,789"
Lexington,815,521,"3,055,859",5,4,"3,750","5,861"
Richmond,46812,285,"2,286,960",6,5,49,"8,030"
Louisville,91850,370,"1,705,875",4,4,19,"4,610"
Upton,23990,83,"600,000",8,4,25,"7,252"
Sharon Grove,35288,167,"599,900",4,3,17,"3,600"
Prestonsburg,15306,59,"122,450",4,3,8,"2,080"
Lancaster,125000,110,"625,000",4,4,5,"5,700"
Campbellsville,27746,183,"799,500",5,3,29,"4,357"
West Liberty,31887,108,"169,000",4,2,5,"1,568"
Quincy,10484,284,"1,950,000",5,5,186,"6,855"
Lewisport,29326,148,"300,000",5,3,10,"2,024"
Rockfield,88312,193,"735,933",4,3,8,"3,804"
Greenville,5763,154,"622,400",4,3,108,"4,044"
Somerset,59747,144,"866,433",5,4,15,"6,016"
Scottsville,18471,177,"768,725",5,3,42,"4,336"
Taylorsville,38071,181,"639,967",5,3,17,"3,540"
Corbin,57931,126,"638,250",5,4,11,"5,047"
Georgetown,30800,227,"795,512",4,3,26,"3,508"
Bagdad,27408,181,"563,225",4,3,21,"3,113"
Bowling Green,65607,185,"888,557",5,3,14,"4,796"
Columbia,16995,160,"814,750",5,4,48,"5,087"
Munfordville,26617,220,"526,133",6,5,20,"2,395"
Cave City,20731,205,"539,000",4,3,26,"2,626"
Edmonton,28714,100,"449,950",5,4,16,"4,488"
Franklin,132729,190,"732,000",4,4,6,"3,857"
Morgantown,20267,102,"397,967",4,4,20,"3,904"
Smiths Grove,42941,235,"729,999",4,3,17,"3,100"
Guthrie,58696,327,"1,350,000",6,3,23,"4,132"
Trenton,121608,133,"899,900",6,5,7,"6,787"
Park City,17890,147,"729,000",6,5,41,"4,960"
Princeton,26829,191,"848,475",5,3,32,"4,453"
Clarkson,13475,210,"795,000",4,3,59,"3,794"
Eastview,21703,119,"254,900",4,2,12,"2,141"
Elizabethtown,14103,351,"2,213,300",5,4,157,"6,307"
Radcliff,56170,110,"599,900",4,3,11,"5,444"
Irvington,81319,134,"622,500",5,4,8,"4,654"
Sonora,17703,106,"414,250",5,3,23,"3,919"
Coxs Creek,36831,161,"895,000",5,4,24,"5,561"
Lebanon Junction,25862,125,"266,900",4,2,10,"2,128"
Greensburg,10487,218,"574,975",4,4,55,"2,634"
Knifley,4989,247,"750,000",4,5,150,"3,040"
Cecilia,23688,138,"379,000",4,3,16,"2,752"
Boston,31686,134,"295,000",4,3,9,"2,206"
Hodgenville,31579,70,"179,999",4,2,6,"2,560"
Crab Orchard,12,31,"62,400",4,2,"5,003","2,012"
Nicholasville,140793,210,"1,050,740",4,4,7,"5,003"
Edgewood,115260,207,"1,649,950",7,6,14,"7,956"
Hazard,8495,79,"169,900",4,2,20,"2,146"
Hebron,85,179,"779,900",5,4,"9,152","4,362"
Perryville,6209,391,"950,000",4,2,153,"2,432"
Staffordsville,13058,87,"339,500",4,3,26,"3,919"
Shepherdsville,62149,176,"823,313",5,4,13,"4,679"
Germantown,12222,123,"550,000",4,3,45,"4,476"
Maysville,28333,82,"425,000",4,2,15,"5,200"
Smithfield,87800,137,"439,000",5,3,5,"3,211"
Murray,35156,192,"1,180,000",4,4,34,"6,162"
Danville,39849,204,"713,700",4,4,18,"3,504"
Beattyville,4862,174,"449,450",5,3,92,"2,588"
London,31134,172,"674,550",5,3,22,"3,914"
Paris,15784,290,"1,104,744",4,4,70,"3,815"
Winchester,25908,272,"969,780",4,4,37,"3,566"
Prospect,271038,234,"1,860,000",5,5,7,"7,946"
Lawrenceburg,42047,176,"680,000",4,3,16,"3,868"
Owensboro,58192,201,"942,133",5,4,16,"4,694"
Henderson,31125,125,"249,000",4,2,8,"2,000"
Paducah,50546,187,"531,917",4,2,11,"2,846"
Nancy,47214,130,"534,300",5,3,11,"4,105"
Jeffersonville,12897,222,"609,000",5,3,47,"2,739"
Cerulean,87573,131,"479,900",5,4,5,"3,650"
Stamping Ground,24258,192,"425,000",4,3,18,"2,216"
Berea,54039,121,"417,450",4,3,8,"3,443"
Waddy,79098,158,"552,500",5,4,7,"3,494"
Irvine,24167,201,"725,000",5,3,30,"3,612"
Versailles,38718,311,"1,207,571",5,4,31,"3,885"
Williamstown,102551,114,"799,900",4,4,8,"7,008"
Monticello,26872,122,"383,200",5,3,14,"3,137"
Williamsburg,78557,157,"549,900",6,3,7,"3,500"
Harrodsburg,11828,193,"484,950",4,2,41,"2,515"
Hopkinsville,25242,189,"529,700",4,3,21,"2,803"
