agency,listingLink,listingImageLink,status,price,beds,baths,sqFt,acre lot,fullAddress,street,city,state,zip
Valley Agency,https://www.realtor.com/realestateandhomes-detail/172-Meade-Hts_Pikeville_KY_41501_M38370-07655,https://ap.rdcpix.com/6192f66d0d12065661158bd657f17416l-m3464384582od-w480_h360.jpg,Pending,"$319,000",4,3,"3,000",5,"172 Meade Hts, Pikeville, KY 41501",172 Meade Hts,Pikeville,KY,41501
Keller Williams Legacy Group,https://www.realtor.com/realestateandhomes-detail/36-Spring-Branch-Ct_Pikeville_KY_41501_M34743-34340,https://ap.rdcpix.com/e20d6733eb5f86ad3e19c5e6926e65d2l-m2881117227od-w480_h360.jpg,For Sale,"$625,000",4,3,"2,800",13,"36 Spring Branch Rd, Pikeville, KY 41501",36 Spring Branch Rd,Pikeville,KY,41501
Commercial Residential Real Estate Solutions,https://www.realtor.com/realestateandhomes-detail/105-WD-Furlong-Rd_Glasgow_KY_42141_M48703-77657,https://ap.rdcpix.com/7bd25e17401953fbddb1f2dd84b687f0l-m981432006od-w480_h360.jpg,For Sale,"$1,490,000",7,5,"4,200",17.8,"105 Wd Furlong Rd, Glasgow, KY 42141",105 Wd Furlong Rd,Glasgow,KY,42141
Coldwell Banker Mcmahan Co.,https://www.realtor.com/realestateandhomes-detail/710-Hickory-Ln_La-Grange_KY_40031_M40627-69871,https://ap.rdcpix.com/7418b35f89faa297c145842eb221adb9l-m2234362580od-w480_h360.jpg,For Sale,"$620,000",4,3.5,"5,050",5.15,"710 Hickory Ln, La Grange, KY 40031",710 Hickory Ln,La Grange,KY,40031
Kirkpatrick & Company,https://www.realtor.com/realestateandhomes-detail/3056-Muir-Station-Rd_Lexington_KY_40516_M46009-49358,https://ap.rdcpix.com/9dc755d21d0591f1d25f110987bd8db0l-m659370170od-w480_h360.jpg,For Sale,"$850,000",4,3.5,"4,335",10,"3056 Muir Station Rd, Lexington, KY 40516",3056 Muir Station Rd,Lexington,KY,40516
Keller Williams Legacy Group,https://www.realtor.com/realestateandhomes-detail/440-Three-Forks-Rd_Richmond_KY_40475_M37676-35773,https://ap.rdcpix.com/a9c7b8567ebebcbaf8b987c052c46c2al-m2454774834od-w480_h360.jpg,Pending,"$410,000",4,2,"2,150",5,"440 Three Forks Rd, Richmond, KY 40475",440 Three Forks Rd,Richmond,KY,40475
Pollard Realty,https://www.realtor.com/realestateandhomes-detail/3221-Fort-Pickens-Rd_Lagrange_KY_40031_M44396-96260,https://ap.rdcpix.com/a2d27ff9c492f98508f9deb75ccd26d4l-m2971906069od-w480_h360.jpg,Contingent,"$900,000",4,3.5,"4,907",8.43,"3221 Fort Pickens Rd, La Grange, KY 40031",3221 Fort Pickens Rd,La Grange,KY,40031
"Berkshire Hathaway HomeServices Parks & Weisberg, Realtors®",https://www.realtor.com/realestateandhomes-detail/6004-Chenoweth-Run-Rd-R_Jeffersontown_KY_40299_M33744-19274,https://ap.rdcpix.com/0b71f8ab002f48a20de9967e0aed2be7l-m3842259775od-w480_h360.jpg,Contingent,"$859,000",4,3.5,"3,400",11.27,"6004 Chenoweth Run Rd, Louisville, KY 40299",6004 Chenoweth Run Rd,Louisville,KY,40299
Keller Williams First Choice Realty,https://www.realtor.com/realestateandhomes-detail/281-E-Millerstown-Rd_Upton_KY_42784_M98806-44959,https://ap.rdcpix.com/279d128894b29ec28532afcdc600c850l-m2050549301od-w480_h360.jpg,For Sale,"$600,000",8,4,"7,252",25.01,"281 E Millerstown Rd, Upton, KY 42784",281 E Millerstown Rd,Upton,KY,42784
Bluegrass Sotheby's International Realty,https://www.realtor.com/realestateandhomes-detail/5425-5401-Greenwich-Pike_Lexington_KY_40511_M93518-63965,https://ap.rdcpix.com/e57719560f8623bed5d526fff583ca80l-m2660115548od-w480_h360.jpg,For Sale,"$4,250,000",9,6.5,"7,475",32.54,"5425 5401 Greenwich Pike, Lexington, KY 40511",5425 5401 Greenwich Pike,Lexington,KY,40511
